gene,logFC,AveExpr,t,P.Value,adj.P.Val,sig,dir
STARD3NL,0.697482262904324,8.37142127652105,9.78060865451389,3.47500635421387e-12,3.27942153010919e-08,TRUE,Up in RA
TBC1D15,1.00783079918137,8.14061049380895,9.6302450832866,5.39949615011828e-12,3.27942153010919e-08,TRUE,Up in RA
MIER1,0.650633388676314,9.56436333337579,9.57848936841556,6.28812807476037e-12,3.27942153010919e-08,TRUE,Up in RA
TTC33,1.30373504909124,6.42232303937786,9.48359821704748,8.32182079581092e-12,3.27942153010919e-08,TRUE,Up in RA
TRIM23,1.21047811974067,7.26586143186964,9.36611503630252,1.17915137837995e-11,3.37298846777781e-08,TRUE,Up in RA
SMARCA4,-0.563673119762408,7.49569374738759,-9.33751534380626,1.28388827042231e-11,3.37298846777781e-08,TRUE,Down in RA
RAB18,0.837551613487156,8.60459139623649,9.199207528304,1.94032916431197e-11,4.36934408814993e-08,TRUE,Up in RA
ZNF230,1.09141244519553,5.34476361475723,9.15381408616379,2.22311351045065e-11,4.3803672831542e-08,TRUE,Up in RA
CAPZA2,0.724027337170535,10.5774702810246,9.03940847111159,3.13589858521085e-11,4.96603446024896e-08,TRUE,Up in RA
C11orf54,0.615110145015402,8.39019959838131,9.03787376116987,3.15043739151745e-11,4.96603446024896e-08,TRUE,Up in RA
NAT1,1.3675192008252,6.36590748968713,8.99525389056069,3.58267229231922e-11,5.13396939489344e-08,TRUE,Up in RA
FAM91A1,0.666167434793529,9.26984779331684,8.90700642212819,4.6786586767486e-11,6.04796403658513e-08,TRUE,Up in RA
HMGB2,0.927984491163194,9.79649006991164,8.8545357848632,5.48571966987801e-11,6.04796403658513e-08,TRUE,Up in RA
BCL2A1,1.83658683032758,8.25401933480069,8.84576090237487,5.6338513145475e-11,6.04796403658513e-08,TRUE,Up in RA
PJA2,0.517502880113811,10.1180367639306,8.8104210604863,6.27262556391334e-11,6.04796403658513e-08,TRUE,Up in RA
PPP1R12A,0.759718846117693,10.0868091761422,8.78313856453146,6.81557326763756e-11,6.04796403658513e-08,TRUE,Up in RA
DNAJC11,-0.585939360387724,7.03878329291853,-8.7690780502133,7.11373638679201e-11,6.04796403658513e-08,TRUE,Down in RA
PDCD10,1.16216077044214,8.52290324390379,8.76431151184916,7.21778454981099e-11,6.04796403658513e-08,TRUE,Up in RA
PNPLA8,0.965871003254421,7.95375905616002,8.75294272984761,7.47221760652012e-11,6.04796403658513e-08,TRUE,Up in RA
ZNF267,1.41807933357753,8.15682178256452,8.73047527393217,8.00207306054115e-11,6.04796403658513e-08,TRUE,Up in RA
NCOR2,-0.681388180904012,8.83257707084274,-8.70704384780724,8.59526483638345e-11,6.04796403658513e-08,TRUE,Down in RA
RB1CC1,0.717270012476376,9.04922975491794,8.70128049464842,8.74787232951423e-11,6.04796403658513e-08,TRUE,Up in RA
PEX2,0.947496552624206,7.87619687540602,8.69841878831,8.82466363264975e-11,6.04796403658513e-08,TRUE,Up in RA
CD4,-0.593125162867301,7.35469864858525,-8.67686839680171,9.42530699393599e-11,6.19046308939221e-08,TRUE,Down in RA
